Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
"To watch (a film, a show)",צוֹפֶה / צוֹפָה,Tzofe / Tzofa,inf. Litz-pot לִצְפּוֹת,TSO-feh — a tzofe is a scout/lookout. Use this for screens; mistakel is for looking at things.,אֲנַחְנוּ צוֹפִים בְּסֶרֶט הָעֶרֶב.,Anachnu tzofim be-seret ha-erev.,We're watching a movie tonight.,Verbs · Motion,131
To sanctify / to bless (kiddush),מְקַדֵּשׁ / מְקַדֶּשֶׁת,Mekadesh / Mekadeshet,inf. Le-kadesh לְקַדֵּשׁ,me-ka-DESH — kadosh = holy; Kiddush is the Friday-night blessing over wine. Same root: k-d-sh.,אַבָּא מְקַדֵּשׁ עַל הַיַּיִן בְּעֶרֶב שַׁבָּת.,Aba mekadesh al ha-yayin be-erev shabbat.,Dad makes kiddush over the wine on Friday night.,Verbs · Motion,131
Clean,נָקִי / נְקִיָּה,Naki / Nekiya,pl. Neki'im / Nekiyot נְקִיִּים / נְקִיּוֹת,"na-KEE — from lenakot, to clean. Nikayon = cleaning.",הַחֶדֶר נָקִי עַכְשָׁיו.,Ha-cheder naki achshav.,The room is clean now.,Adjectives · Qualities,134
Dirty,מְלוּכְלָךְ / מְלוּכְלֶכֶת,Meluchlach / Meluchlechet,pl. Meluchlachim / Meluchlachot מְלוּכְלָכִים / מְלוּכְלָכוֹת,"me-luch-LACH — a satisfyingly grubby-sounding word. From lichluch, dirt.",הַנַּעֲלַיִם מְלוּכְלָכוֹת מֵהַטִּיּוּל.,Ha-na'alayim meluchlachot me-ha-tiyul.,The shoes are dirty from the hike.,Adjectives · Qualities,134
Colorful,צִבְעוֹנִי / צִבְעוֹנִית,Tzivoni / Tzivonit,pl. Tzivoniim / Tzivoniyot צִבְעוֹנִיִּים / צִבְעוֹנִיּוֹת,"tsiv-o-NEE — from tzeva (color). The -oni ending turns nouns into adjectives, like tzimchoni (vegetarian) from tzemach (plant).",הַשּׁוּק צִבְעוֹנִי וְרַעֲשָׁן.,Ha-shuk tzivoni ve-ra'ashan.,The market is colorful and noisy.,Adjectives · Qualities,134
Grey,אָפוֹר / אֲפוֹרָה,Afor / Afora,pl. Aforim / Aforot אֲפוֹרִים / אֲפוֹרוֹת,"a-FOR — from efer, ""ash"". Grey is ash-colored.",הַשָּׁמַיִם אֲפוֹרִים הַיּוֹם.,Ha-shamayim aforim ha-yom.,The sky is grey today.,Adjectives · Qualities,134
Carbonated / fizzy,מֻגָּז / מֻגֶּזֶת,Mugaz / Mugezet,pl. Mugazim / Mugazot מֻגָּזִים / מֻגָּזוֹת,"mu-GAZ — literally ""gassed"". Mayim mugazim = sparkling water. Ask for it this way in any café.","אֶפְשָׁר מַיִם מֻגָּזִים, בְּבַקָּשָׁה?","Efshar mayim mugazim, bevakasha?","Could I have sparkling water, please?",Adjectives · Qualities,134
Vegetarian,צִמְחוֹנִי / צִמְחוֹנִית,Tzimchoni / Tzimchonit,pl. Tzimchoniim / Tzimchoniyot צִמְחוֹנִיִּים / צִמְחוֹנִיּוֹת,"tsim-cho-NEE — from tzemach, ""a plant"". A plant-person.","אֲנִי צִמְחוֹנִית, יֵשׁ מָנָה בְּלִי בָּשָׂר?","Ani tzimchonit, yesh mana bli basar?","I'm vegetarian, is there a dish without meat?",Adjectives · Everyday,135
Vegan,טִבְעוֹנִי / טִבְעוֹנִית,Tiv'oni / Tiv'onit,pl. Tiv'oniim / Tiv'oniyot טִבְעוֹנִיִּים / טִבְעוֹנִיּוֹת,"tiv-o-NEE — from teva, ""nature"". Israel has one of the highest vegan rates in the world, so you'll hear it often.",הַמִּסְעָדָה הַזֹּאת טִבְעוֹנִית לְגַמְרֵי.,Ha-mis'ada ha-zo tiv'onit legamrei.,This restaurant is entirely vegan.,Adjectives · Everyday,135
Disappointed,מְאֻכְזָב / מְאֻכְזֶבֶת,Me'uchzav / Me'uchzevet,pl. Me'uchzavim / Me'uchzavot מְאֻכְזָבִים / מְאֻכְזָבוֹת,"me-uch-ZAV — from achzava, disappointment, built on kazav, ""a lie"": you were let down by a false hope.",אֲנִי מְאֻכְזֶבֶת מֵהַסֶּרֶט.,Ani me'uchzevet me-ha-seret.,I'm disappointed by the movie.,Adjectives · Everyday,135
So / such,כָּל כָּךְ,Kol kach,,"kol kach — literally ""all thus"". ""Kol kach yafe!"" = ""So beautiful!"" It goes before the adjective.",הָאֹכֶל הָיָה כָּל כָּךְ טָעִים!,Ha-ochel haya kol kach ta'im!,The food was so tasty!,Adjectives · Everyday,135
Already,כְּבָר,Kvar,,"KVAR — Israelis use kvar for impatience too: ""Bo kvar!"" = ""Come on already!""","כְּבָר אָכַלְתִּי, תּוֹדָה.","Kvar achalti, toda.","I already ate, thanks.",Adjectives · Everyday,135
All / every,כֹּל,Kol,,"KOL — with ""the"" it means all (kol ha-yom = all day); without it, every (kol yom = every day). One tiny word, two meanings.","אֲנִי לוֹמֶדֶת כָּל יוֹם, לֹא כָּל הַיּוֹם.","Ani lomedet kol yom, lo kol ha-yom.","I study every day, not all day.",Adjectives · Quantity,136
A lot / many,הַרְבֵּה,Harbeh,,har-BEH — a HERD of things. Doesn't change for gender or number — one form fits all.,יֵשׁ לִי הַרְבֵּה עֲבוֹדָה הַשָּׁבוּעַ.,Yesh li harbeh avoda ha-shavua.,I have a lot of work this week.,Adjectives · Quantity,136
A whole lot / a ton,הֲמוֹן,Hamon,,"ha-MON — originally ""a crowd, a multitude"". Stronger than harbeh: ""Toda hamon!"" = ""Thanks a million!""",הָיָה שָׁם הֲמוֹן אֲנָשִׁים.,Haya sham hamon anashim.,There were a ton of people there.,Adjectives · Quantity,136
Never mind / it doesn't matter,לֹא מְשַׁנֶּה,Lo meshane,,"Literally ""it doesn't change"" — from leshanot, to change. One of the most useful throwaway phrases in Hebrew.","לֹא מְשַׁנֶּה, נַעֲשֶׂה אֶת זֶה מָחָר.","Lo meshane, ne'ase et ze machar.","Never mind, we'll do it tomorrow.",Connectors · Everyday,137
At my place / with me,אֶצְלִי,Etzli,"pl. Etzlecha, etzla… אֶצְלְךָ, אֶצְלָהּ","ETS-li — from etzel, ""at/by"". It takes endings for every person: etzli, etzlecha, etzlo, etzla. ""Ba'im etzli?"" = ""Coming to my place?""",הָאֲרוּחָה אֶצְלִי הָעֶרֶב.,Ha-arucha etzli ha-erev.,Dinner is at my place tonight.,Connectors · Everyday,137
These / those,אֵלֶּה,Ele,,"EH-leh — the plural of ze/zo (this). Ha-sfarim ha-ele = ""these books"" (Hebrew repeats the ""ha-"").",הַפְּרָחִים הָאֵלֶּה בִּשְׁבִילֵךְ.,Ha-prachim ha-ele bishvilech.,These flowers are for you.,Connectors · Everyday,137
Two (before a noun),שְׁנֵי / שְׁתֵּי,Shnei / Shtei,,"Standing alone you say shnayim / shtayim; but right before a noun they shorten to shnei (m.) / shtei (f.). Shnei sfarim, shtei banot.",קָנִיתִי שְׁתֵּי כּוֹסוֹת וּשְׁנֵי צַלָּחוֹת.,Kaniti shtei kosot ve-shnei tzalachot.,I bought two glasses and two plates.,Connectors · Everyday,137
Was / it was,הָיָה / הָיְתָה,Haya / Hayta,pl. Hayu הָיוּ,"ha-YA — the past tense of ""to be"", the verb that vanishes in the present. Haya cham = ""it was hot"". You'll meet its full conjugation in Phase 2.",הַסֶּרֶט הָיָה מְעַנְיֵן מְאוֹד.,Ha-seret haya me'anyen me'od.,The movie was very interesting.,Connectors · Everyday,137
Able to / can (as an adjective),יָכוֹל / יְכוֹלָה,Yachol / Yechola,pl. Yecholim / Yecholot יְכוֹלִים / יְכוֹלוֹת,"Same word as the verb ""can"" — Hebrew uses it like an adjective, followed by an infinitive: Ani yachol lalechet. Note it changes for gender, like an adjective.",אֲנַחְנוּ יְכוֹלִים לַעֲזוֹר לָךְ.,Anachnu yecholim la'azor lach.,We can help you.,Connectors · Everyday,137
